Date : 2024-12-27 02:47:07
Directory : c:\Dev\fullstack\fullstack-front
Total : 99 files,  26517 codes, 116 comments, 1185 blanks, all 27818 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     18,284 |          0 |          3 |     18,287 |
| JavaScript |         88 |      8,074 |         92 |      1,127 |      9,293 |
| CSS        |          5 |        100 |          1 |         21 |        122 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         99 |     26,517 |        116 |      1,185 |     27,818 |
| . (Files)                                                                                     |          3 |     18,297 |          0 |         35 |     18,332 |
| public                                                                                        |          2 |         45 |         23 |          2 |         70 |
| src                                                                                           |         94 |      8,175 |         93 |      1,148 |      9,416 |
| src (Files)                                                                                   |          8 |        241 |          7 |         72 |        320 |
| src\administration                                                                            |         46 |      3,688 |         24 |        495 |      4,207 |
| src\administration (Files)                                                                    |          2 |         74 |          0 |          8 |         82 |
| src\administration\bodies                                                                     |          6 |        425 |          1 |         66 |        492 |
| src\administration\bodytypes                                                                  |          3 |        213 |          1 |         27 |        241 |
| src\administration\countries                                                                  |          3 |        258 |          1 |         28 |        287 |
| src\administration\drivetrains                                                                |          3 |        213 |          1 |         27 |        241 |
| src\administration\engineTypes                                                                |          3 |        213 |          1 |         27 |        241 |
| src\administration\engines                                                                    |          5 |        590 |          9 |         86 |        685 |
| src\administration\fuels                                                                      |          3 |        213 |          1 |         27 |        241 |
| src\administration\markets                                                                    |          3 |        231 |          2 |         30 |        263 |
| src\administration\roles                                                                      |          4 |        263 |          0 |         39 |        302 |
| src\administration\transmissionTypes                                                          |          3 |        213 |          1 |         27 |        241 |
| src\administration\transmissions                                                              |          5 |        467 |          5 |         73 |        545 |
| src\administration\users                                                                      |          3 |        315 |          1 |         30 |        346 |
| src\autosport                                                                                 |          1 |         20 |          0 |          4 |         24 |
| src\catalog                                                                                   |         22 |      2,928 |         52 |        381 |      3,361 |
| src\catalog\bodystyles                                                                        |          3 |        555 |          7 |         86 |        648 |
| src\catalog\facelifts                                                                         |          3 |        201 |          1 |         28 |        230 |
| src\catalog\generations                                                                       |          3 |        370 |          4 |         38 |        412 |
| src\catalog\makes                                                                             |          3 |        379 |          3 |         50 |        432 |
| src\catalog\models                                                                            |          3 |        257 |          4 |         35 |        296 |
| src\catalog\trims                                                                             |          7 |      1,166 |         33 |        144 |      1,343 |
| src\components                                                                                |          4 |        139 |          1 |         26 |        166 |
| src\layout                                                                                    |          2 |         88 |          0 |         27 |        115 |
| src\pages                                                                                     |          3 |         97 |          0 |         19 |        116 |
| src\spots                                                                                     |          5 |        866 |          6 |        106 |        978 |
| src\users                                                                                     |          3 |        108 |          3 |         18 |        129 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Dev\fullstack\fullstack-front\README.md                                                    | Markdown   |         38 |          0 |         33 |         71 |
| c:\Dev\fullstack\fullstack-front\package-lock.json                                            | JSON       |     18,207 |          0 |          1 |     18,208 |
| c:\Dev\fullstack\fullstack-front\package.json                                                 | JSON       |         52 |          0 |          1 |         53 |
| c:\Dev\fullstack\fullstack-front\public\index.html                                            | HTML       |         20 |         23 |          1 |         44 |
| c:\Dev\fullstack\fullstack-front\public\manifest.json                                         | JSON       |         25 |          0 |          1 |         26 |
| c:\Dev\fullstack\fullstack-front\src\App.css                                                  | CSS        |         33 |          0 |          6 |         39 |
| c:\Dev\fullstack\fullstack-front\src\App.js                                                   | JavaScript |        163 |          0 |         55 |        218 |
| c:\Dev\fullstack\fullstack-front\src\App.test.js                                              | JavaScript |          7 |          0 |          2 |          9 |
| c:\Dev\fullstack\fullstack-front\src\administration\Administration.js                         | JavaScript |         50 |          0 |          2 |         52 |
| c:\Dev\fullstack\fullstack-front\src\administration\BucketAvailabilityChecker.js              | JavaScript |         24 |          0 |          6 |         30 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodies\AddBody.js                         | JavaScript |         83 |          0 |         15 |         98 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies copy.js                     | JavaScript |         62 |          0 |          7 |         69 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodies\Bodies.js                          | JavaScript |         54 |          0 |          7 |         61 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodies\EditBody.js                        | JavaScript |         91 |          1 |         14 |        106 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodies\ListBody.js                        | JavaScript |         63 |          0 |          9 |         72 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodies\ViewBody.js                        | JavaScript |         72 |          0 |         14 |         86 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\AddBodytype.js                  | JavaScript |         69 |          0 |          9 |         78 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\Bodytypes.js                    | JavaScript |         62 |          0 |          7 |         69 |
| c:\Dev\fullstack\fullstack-front\src\administration\bodytypes\EditBodytype.js                 | JavaScript |         82 |          1 |         11 |         94 |
| c:\Dev\fullstack\fullstack-front\src\administration\countries\AddCountry.js                   | JavaScript |         83 |          0 |          9 |         92 |
